IUPAC,VGA(EY Lab) (1ug/ml),VGA(EY Lab) (10ug/ml),VGA(EY Lab) (100ug/ml)
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,6.550775,-3.1697999999999995,24.72482500000001
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,7.709400000000002,3.0796500000000013,65.059075
Gal(b1-3)GalNAc(a1-Sp8,3.31685,14.000825,28.246425
Gal(b1-3)GalNAc(a1-Sp14,2.635275000000001,16.836625000000005,95.79567499999996
Gal(b1-3)GalNAc(a1-Sp16,15.971124999999995,9.882875,36.642250000000026
Gal(b1-3)GalNAc(b1-Sp8,3.1961000000000004,3.3817000000000013,71.77085000000002
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,8.068850000000005,10.675075,137.42257500000002
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,10.3805,5.508825,29.722725
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,11.187525,10.10915,29.18542500000001
Gal(b1-3)Gal(b1-Sp8,11.037750000000004,5.62645,31.145275
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5.2413750000000014,8.002925000000001,33.59155000000001
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,26.8114,6.920225,61.99695
Gal(b1-3)GlcNAc(b1-Sp0,6.177174999999997,7.731149999999999,42.119075
Gal(b1-3)GlcNAc(b1-Sp8,8.09675,4.952000000000001,78.332175
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.545925,9.877050000000002,12.80425
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,4.68485,11.682575000000005,43.06585000000001
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.0325500000000014,22.0665,31.15815
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.47645,6.331374999999999,7.130175
Gal(b1-4)(6S)Glc(b1-Sp0,3.078225,21.075949999999988,121.0232
Gal(b1-4)(6S)Glc(b1-Sp8,12.3959,6.6121250000000025,181.403975
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1.9182249999999987,4.62085,36.6022
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,5.56875,5.702624999999998,50.15377499999999
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,4.675824999999999,5.502275,90.70600000000002
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,9.54435,11.967600000000004,112.016925
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.325299999999997,5.402675,120.79985
