IUPAC,CTB 0.001ug/ml,CTB 0.01ug/ml,CTB 0.1ug/ml,CTB 1ug/ml,CTB 10ug/ml
Gal(b1-3)GalNAc(a1-Sp14,48.19956545,51.41017891,31.85387156,32.83578073,96.83788332
Gal(b1-3)GalNAc(a1-Sp16,48.48895978,75.25519923,20.04694107,25.8076128,36.14669777
Gal(b1-3)GalNAc(b1-Sp8,49.92832413,65.91555615,36.06947871,44.45480811,122.1603094
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,101.4438164,36.14798381,25.72510652,34.24493223,64.50673534
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,99.71411422,1033.897473,877.6984438,1034.696035,1015.144847
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,37.67555788,79.80445261,67.88795236,61.44414067,70.34371879
Gal(b1-3)Gal(b1-Sp8,64.31398981,120.7317722,76.36481033,47.75805513,78.04015898
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,29.23576238,58.82817326,22.73681094,37.59384081,28.27283077
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,54.93325319,15.18387699,17.60099801,11.43629006,165.6054153
Gal(b1-3)GlcNAc(b1-Sp0,38.16141075,125.9139654,12.80659031,37.39394847,122.8484588
Gal(b1-3)GlcNAc(b1-Sp8,88.5570053,28.13614011,33.02320662,33.76880572,67.53910478
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,50.13653107,49.23552142,21.83480563,30.21508647,88.85921691
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,45.45777399,31.9061613,34.11177777,18.31598935,26.58354353
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,78.31553102,37.28070525,48.92234408,30.05034893,60.73149743
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.279495421,12.31690804,39.20931184,54.16587289,268.4449548
Gal(b1-4)(6S)Glc(b1-Sp0,41.89410843,27.28000939,14.63754949,18.53688686,32.93635149
Gal(b1-4)(6S)Glc(b1-Sp8,91.07835484,60.56300038,57.69306411,59.99745311,44.63990131
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,38.15121599,55.61286489,21.35655457,17.96415233,36.99462587
