IUPAC,Gal-3C (0.5ug/ml),Gal-3C (2ug/ml),Gal-3C (5ug/ml),Gal-3C (20ug/ml),Gal-3C (50ug/ml)
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,25.84202499999999,11.213824999999986,4.6399750000000015,18.66492499999999,37.21165
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,15.85435,17.24435,21.19965,8.856825,7.830075000000001
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,6.676424999999997,8.995974999999998,9.188375,8.064425000000004,21.832425000000004
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,29.593499999999995,26.338675,32.733525,20.518575,19.66015
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,12.890549999999996,13.608274999999995,7.014724999999999,3.635125,14.767350000000002
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,6.682274999999999,23.07655,11.474549999999995,19.258875,16.001649999999998
Gal(b1-3)GalNAc(a1-Sp8,16.977825000000006,10.409949999999998,6.029000000000001,17.606174999999993,20.30325
Gal(b1-3)GalNAc(a1-Sp14,22.574825,17.49535,7.9566,10.338199999999992,18.293
Gal(b1-3)GalNAc(a1-Sp16,16.311724999999996,24.073325,12.621675,26.70875,27.230825
Gal(b1-3)GalNAc(b1-Sp8,5.054475000000001,9.085775000000003,24.80795,20.176375,36.854725
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,23.57777500000001,5.637150000000001,15.831775,17.76035,34.965599999999995
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,14.161624999999995,15.002425000000002,21.720724999999995,20.9849,14.446275000000002
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,13.427350000000002,20.0428,35.170575,14.5274,48.99969999999999
Gal(b1-3)Gal(b1-Sp8,16.841724999999997,17.448249999999998,21.642475,10.281649999999997,52.89234999999998
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,11.739650000000005,27.465775000000004,57.16697500000001,360.9088499999999,543.586475
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,8.505225,10.811925,20.7145,82.63220000000003,99.09817499999998
Gal(b1-3)GlcNAc(b1-Sp0,8.022025,6.2733750000000015,14.671349999999995,25.028675,15.743200000000005
Gal(b1-3)GlcNAc(b1-Sp8,8.866600000000002,19.03445,24.452750000000005,21.587075,25.02930000000001
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.812175,13.514350000000006,16.163125,19.141350000000006,18.70125
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,8.5884,13.965424999999994,22.08,16.086325000000002,24.60035
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.809325,11.514850000000004,12.571949999999996,28.486699999999992,50.8235
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,37.0061,20.52075,16.936175,23.7229,26.2112
Gal(b1-4)(6S)Glc(b1-Sp0,11.057175,15.924575,11.314299999999996,11.33705,20.651724999999992
Gal(b1-4)(6S)Glc(b1-Sp8,12.511300000000006,14.764399999999998,21.36235,16.26435,38.1571
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,20.166875,183.100325,492.62585,2073.0297,3494.6852499999986
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,11.160475,9.751125,27.468225,17.605849999999997,19.631725
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,22.265975,21.069550000000003,10.6175,29.882525,19.292
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,21.042649999999995,20.986225000000005,26.483375,22.348575,14.622774999999995
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.1425,18.440025000000006,17.049525000000006,39.911025,43.55789999999998
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,27.912099999999995,635.8401500000001,1370.5596,6448.185,10090.34925
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,26.10347500000001,338.757625,727.0047500000003,2380.681275000001,6146.236249999999
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,10.723649999999996,26.624175,42.865875,383.793,498.3331749999999
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,22.211025,34.53035000000001,66.19605,276.56710000000004,1010.4221000000003
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,8.754225,16.670099999999998,5.170325,15.746,42.739475
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,19.290225,14.284025,17.566924999999998,19.03625,10.0032
Gal(b1-4)GlcNAc(b1-Sp0,17.074275,18.333225,26.79395,11.55565,31.12125
Gal(b1-4)GlcNAc(b1-Sp8,16.6074,9.39505,15.497125,22.342475,53.33059999999999
Gal(b1-4)GlcNAc(b1-Sp23,2.2937749999999992,7.780549999999999,10.313275000000006,9.487525000000002,16.158900000000006
Gal(b1-4)Glc(b1-Sp0,15.6811,5.363075000000002,22.58752500000001,11.3142,23.044324999999994
Gal(b1-4)Glc(b1-Sp8,12.859624999999998,6.690475000000002,6.58995,7.936325000000004,8.799325
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,12.074350000000004,7.560075,6.034125,26.156575000000004,18.498675
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,12.613650000000005,17.175249999999995,12.58045,18.238850000000006,27.801975
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,23.5876,12.1343,20.7233,15.627450000000005,11.364974999999998
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,5.276925000000002,23.5998,12.62385,17.782824999999995,16.704425
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,11.751300000000004,12.792299999999996,11.686175,7.724574999999998,25.16532500000001
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,11.586675000000005,28.965824999999995,8.130475,11.826900000000002,13.178224999999998
GlcNAc(b1-3)GalNAc(a1-Sp8,6.2171499999999975,11.984075,12.862125,5.503474999999999,20.408725
GlcNAc(b1-3)GalNAc(a1-Sp14,25.620775,8.449224999999998,17.019425,10.416275,18.43345
GlcNAc(b1-3)Gal(b1-Sp8,20.553075,8.389824999999998,8.359375,4.49985,14.5335
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,19.8009,13.088325,31.252425,177.74177500000005,321.8911750000001
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,24.387950000000004,20.2464,22.976275000000005,209.0796,598.6347
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,41.57894999999999,622.40515,1750.4136500000006,7397.48935,13211.245375
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,10.609625,13.200549999999994,17.7725,16.974725,23.123199999999994
GlcNAc(b1-4)(a1-MDPLys,7.551300000000001,8.3062,27.722199999999994,17.662025,27.701175
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,13.759025000000005,15.27425,21.815625,22.07557500000001,11.418625000000002
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,8.556875,7.773225,11.096725000000005,14.841550000000005,11.080374999999998
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,22.7578,21.64805,19.149950000000004,11.825625,12.238974999999998
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,6.865275000000001,7.9815999999999985,11.654075,13.891800000000005,5.611500000000001
