IUPAC,ECL 0.01ug/ml,ECL 0.5ug/ml,ECL 1ug/ml,ECL 5ug/ml,ECL 50ug/ml
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,11.95507368,2.497548181,13.56499697,4.821347327,8.765107582999999
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,6.85645484,24.50957221,5.443053895,15.79751072,14.47732638
Gal(b1-3)Gal(b1-Sp8,8.185981146,6.138576377000001,9.40097401,7.675361298999999,6.761393825
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1.375393099,6.707870756,1.748780894,13.248906400000001,10.42605297
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,8.92035249,2.430401629,8.39705165,5.387800379,2.9447447189999996
Gal(b1-3)GlcNAc(b1-Sp0,7.184413291,8.294968439,5.168732143,11.45316524,10.41428627
Gal(b1-3)GlcNAc(b1-Sp8,8.829789316,7.427637755,11.05623071,10.39649865,15.94172474
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,35.41893510000001,1.288121232,9.281111325,10.95127855,4.351796687
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,14.07260723,2.593592646,21.40834925,8.167037832,29.29323743
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.402478155,4.066160345,10.1053835,20.12451855,10.88746178
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.1322533,4.659770914,10.800433,26.90338301,18.79772281
Gal(b1-4)(6S)Glc(b1-Sp0,4.865383455,13.80954122,9.644101857,7.482597976,42.162621200000004
Gal(b1-4)(6S)Glc(b1-Sp8,5.300740175,12.27422821,21.89958029,9.805034663999999,9.397981049
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,6.938628623,4.919956818,13.40805728,3.173873035,7.276482012000001
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,5.836982732,19.61541501,3.813206234,8.85790183,6.974607512
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,24.4472962,12.09459385,20.39617569,234.13928030000002,1957.44206
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,8.643174400000001,9.140258712,4.943928566,99.38197777,459.5192443
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,18.4368533,30.60883391,48.36214718,120.6602846,646.6854102000002
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,7.256162407000001,32.21574462,73.10784967,149.405696,292.2766658000001
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,15.21083982,30.4257745,81.04775051,149.7588154,593.4130703
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,13.47360059,13.36373312,34.57842692,196.6955003,900.819587
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,3.081129977,11.923094099999998,50.96264036,213.6167202,2063.84227
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,4.639243052,17.227301999999998,33.01548874,76.63083465,473.6038358
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,2.85427729,9.933291497,12.86042676,42.82476354,390.8116623
Gal(b1-4)GlcNAc(b1-Sp0,3.207824221,7.190287477999999,22.91021279,20.29506607,309.6431764
Gal(b1-4)GlcNAc(b1-Sp8,5.1242690930000006,21.139287399999997,34.27983084,127.62660079999999,143.956955
Gal(b1-4)GlcNAc(b1-Sp23,1.6222762469999998,9.465623179,25.01581534,185.9650631,678.6051894
Gal(b1-4)Glc(b1-Sp0,10.45027754,15.134149800000005,10.94005978,16.92631535,8.281339661
Gal(b1-4)Glc(b1-Sp8,6.548488055,14.44035348,5.070065181,6.999154094,12.26825376
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,13.13180008,2.40360719,17.29855847,12.84591388,8.515056285
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,10.71119055,3.395874183,10.09515833,12.11034286,7.315665805
